Month/Year,Diesel Price (MAD/Liter),Gasoline Price (MAD/Liter),,,
20-Jan,9,10,,,
20-Feb,8.5,9.5,,,
20-Mar,7.5,8.5,,,
20-Apr,7.5,8.5,,,
20-May,7.6,8.6,,,
20-Jun,7.7,8.7,,,
20-Jul,7.8,8.8,,, 
20-Aug,7.9,8.9,,,
20-Sep,8,9,,,
20-Oct,8.1,9.1,,,
20-Nov,8.2,9.2,,,
20-Dec,8.3,9.3,,,
21-Jan,8.4,9.4,,,
21-Feb,8.5,9.5,,,
21-Mar,8.6,9.6,,,
21-Apr,8.7,9.7,,,
21-May,8.8,9.8,,,
21-Jun,9,10,,,
21-Jul,9.2,10.2,,,
21-Aug,9.4,10.4,,,
21-Sep,9.6,10.6,,,
21-Oct,9.8,10.8,,,
21-Nov,10,11,,,
21-Dec,10.2,11.2,,,
22-Jan,10.5,12,,,
22-Feb,11,12.5,,,
22-Mar,12,14,,,
22-Apr,13.5,15.5,,,
22-May,14.5,17,,,
22-Jun,15,18,,,
22-Jul,16.57,17.78,,,
22-Aug,16,17.5,,,
22-Sep,15.5,17,,,
22-Oct,15,16.5,,,
22-Nov,14.5,16,,,
22-Dec,14,15.5,,,
23-Jan,13.5,15,,,
23-Feb,13,14.5,,,
23-Mar,12.5,14,,,
23-Apr,12.3,13.8,,,
23-May,12.2,13.7,,,
23-Jun,12.1,13.6,,,
23-Jul,12.2,13.7,,,
23-Aug,12.3,13.8,,,
23-Sep,12.4,13.9,,,
23-Oct,12.5,14,,,
23-Nov,12.6,14.1,,,
23-Dec,12.7,14.2,,,
24-Jan,11.27,13.47,,,
24-Feb,11.2,13.4,,,
24-Mar,11.1,13.3,,,
24-Apr,11,13.2,,,
24-May,11.1,13.3,,,
24-Jun,11.2,13.4,,,
24-Jul,11.3,13.5,,,
24-Aug,12,14,,,
24-Sep,11.7,13.6,,,
24-Oct,11.4,13.3,,,
24-Nov,11.3,13.49,,,
24-Dec,11.2,13.4,,,
25-Jan,11.67,13.53,,,
25-Feb,11.67,13.53,,,
25-Mar,10.97,13.05,,,
25-Apr,11.14,13.1,,,
